Food class level 1,Metrics,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels
,Country,Finland,Finland,France,France,Germany,Germany,Italy,Italy,Netherlands,Netherlands,Sweden,Sweden,United Kingdom,United Kingdom
,Food (FoodEx2 description),Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram
,Blended fat and oils,6.5,84.384,6.6,135.175,6.6,135.175,6.6,135.175,6.6,59.401,6.5,84.394,6.6,59.401
,"Blended fat and oils, QUAL Half fat or medium fat",24.6,93.0044,24.8,446.62,24.8,446.62,24.8,446.62,24.8,446.62,24.6,93.0244,24.8,446.62
,"Blended fat and oils, QUAL Low fat (naturally or reduced)",0.7,359.4959,1.2,645.944,1.2,645.944,1.2,645.944,1.2,645.944,0.7,359.5159,1.2,645.944
,"Blended fat and oils, QUAL Low sodium / reduced salt",6.1,135.185,6.1,135.175,6.1,135.175,6.1,135.175,6.1,135.175,6.1,135.195,6.1,135.175
,Blended frying oil/fats,108.66,85.211,74.3,34.214,74.3,3.12,71.3,27.42,74.3,3.12,80,85.211,74.3,3.12
,Blended margarine,43.1,74.352,2.2,42.52,0.476,117.541,,26.964,0.468,77.491,0.1,74.352,0.476,88.821
,"Blended margarine, QUAL Half fat or medium fat",43.2,101.76,77.1,36.661,77.2,146.018,77.1,36.661,77.2,149.898,43.2,101.76,77.2,149.898
,"Blended margarine, QUAL Low fat (naturally or reduced)",77.2,146.018,77.1,429.331,77.2,146.018,77.1,429.331,77.1,429.331,77.2,146.018,77.2,146.018
,"Blended margarine, QUAL Low sodium / reduced salt",43,33.321,43,33.321,43,33.321,43,33.321,43,33.321,43,33.321,43,33.321
,Butter,18.9,80.658,9.07,58.562,7.174,55.429,9.07,63.262,1.3,71.357,0.5,64.398,8.3,72.24
,Butter and margarine/oil blends,,,,59.35,,59.35,,59.35,,59.35,,,,59.35
,"Butter and margarine/oil blends, QUAL Half fat or medium fat",0.3,84.9,0.3,84.9,0.3,84.9,0.3,84.9,0.3,84.9,0.3,84.9,0.3,84.9
,"Butter and margarine/oil blends, QUAL Low fat (naturally or reduced)",1.3,109.11,1.3,109.11,1.3,109.11,1.3,109.11,1.3,109.11,1.3,109.11,1.3,109.11
,Butter oil,8.6,69.3536,8.6,15.101,8.6,15.101,8.6,15.101,8.6,69.871,8.6,69.3536,8.6,69.871
,"Butter, QUAL Half fat or medium fat",,,,,1,381.491,,,0.8,85.926,,,0.8,85.926
,"Butter, QUAL Low fat (naturally or reduced)",0.5,160.503,0,190.097,1.5,381.491,0,190.097,1.3,85.127,1.5,381.491,1.3,85.127
,Cocoa butter,0,1.8,15,1.5,15,1.5,15,1.8,0,1.8,0,1.8,15,2.05
,Coconut oil/fat,10,0.132,10,1.117,10,2.959,10,1.017,10,0.132,10,0.132,10,1.799
,Cod liver oil,0.005,31.371,0,31.144,0.005,23.141,0,19.87,0.005,31.371,0.005,31.371,0.005,23.141
,"Cotton seed oil, edible",0,35.3,0,39.336,0,39.336,0,39.336,0,35.3,0,35.3,0,46.806
,Functional vegetable margarines/fats,,,0,79.83,0,79.83,0,79.83,0,79.83,,,0,79.83
,"Functional vegetable margarines/fats, QUAL Half fat or medium fat",0.2,39.941,,38,,38.75,,38,,38.75,0.2,39.941,,38.75
,"Functional vegetable margarines/fats, QUAL Low fat (naturally or reduced)",,28,,28,,28,,28,,28,,28,,28
,Ghee,8,15.051,8,15.051,8,15.051,8,15.051,8,19.851,8,15.051,8,19.851
,Grape seed oil,0,28.8,0,28.8,0,29.824,0,19,0,28.8,0,28.8,0,29.824
,Herring oil,0,49.13,0,49.13,0,49.13,0,49.13,0,49.13,0,49.13,0,49.13
,Linseed oil,,,0,4,0,4,0,4,0,17.5,21.6,6.67,0,4
,"Maize oil, edible",0,25.8,3,30,3,41.745,3,34.6,1.9,17.21,0,29,,
,"Olive oil, refined",0,11.9,55,16.092,55,16.092,55,19.6,0,5.11,0,11.9,0,5.11
,"Olive oil, virgin or extra-virgin",55,16.092,57.2,17.734,55,16.092,55,27.06,55,5.11,55,16.092,55,5.51
,"Palm kernel oil, edible",8,6.1,0,26.6,0,26.6,0,26.6,0,25.6,8,15.95,0,26.6
,Palm oil/fat,8,6.1,8,11.432,8,11.432,8,34.211,8,15.921,8,6.1,8,37.531
,"Peanut oil, edible",0,13.043,10.1,17.51,1,12.96,1,19.21,0,15.2,0,13.043,1,15.16
,Pork lard,7,7.42,0,6.567,0,2.747,0,5.567,0,0.52,7,7.42,0,7.637
,"Poultry fats, processed",0,2.72,0,2.73,0,9.8,0,2.73,0,2.72,0,2.72,0,9.8
,Processed fat (blubber) of marine mammals,0.005,31.371,0.005,31.371,0.005,31.371,0.005,31.371,0.005,31.371,0.005,31.371,0.005,31.371
,Pumpkin seed oil,2.65,4.5,0,4.5,0,4.5,0,4.5,0,4.5,0,4.5,0,4.5
,"Rape seed oil, edible",130,18.9,113,22.5,113,22.038,113,22.3,0,18.402,128,23,113,25.36
