Food class level 1,Metrics,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels
,Country,Finland,Finland,France,France,Germany,Germany,Italy,Italy,Netherlands,Netherlands,Sweden,Sweden,United Kingdom,United Kingdom
,Food (FoodEx2 description),Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram
Food products for young population,"Biscuits, rusks and cookies for children",7,570.85,7,570.8,7,570.8,7,715.016,6,914.269,7,570.8,6,891.1
,Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid,0.7,1446.3,0.7,1446.3,0.7,1446.3,0.7,1446.3,0.7,1446.3,0.7,1446.3,0.7,1446.3
,"Follow-on formulae, liquid",1.8,238.347,1.8,238.347,1.8,278.347,1.8,238.347,1.8,278.347,1.8,238.347,1.8,278.047
,"Follow-on formulae, powder",1.5,1725.38,1.5,1725.38,1.5,1795.38,1.5,1725.38,1.5,1795.38,1.5,1725.38,1.5,1795.38
,Fruit and vegetable juices and nectars specific for infants and young children,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3
,"Infant formulae, liquid",1.8,154.888,1.8,228.347,1.8,228.347,1.8,228.347,1.8,228.347,1.8,154.888,1.8,227.747
,"Infant formulae, powder",38.7,1210.0697,39.4,1156.18,38.75,1319.864,39.4,1156.18,38.75,1319.864,38.7,1210.0697,39.4,1156.18
,"Pasta for children (dry, to be cooked)",0,444.927,0,444.927,0,444.927,0,444.927,0,444.927,0,444.927,0,444.927
,Ready-to-eat cereal-based meal for children,,,5.24,225.616,1,253.66,5.24,225.616,1,253.66,,,1,253.66
,Ready-to-eat dairy-based meal for children,,,0,124.85,0,124.85,0,124.85,0,124.85,,,0,124.85
,Ready-to-eat fish-based meal for children,3.6,278.5975,1.284,260.907,3,347.43,1.284,260.907,3,347.43,3.6,278.5975,3,347.43
,Ready-to-eat fruit-based meal for children,0.6,189.3962,1,219.03,1,219.03,1,219.03,1,230.89,0.6,189.3962,1,219.03
,Ready-to-eat meat-based meal for children,3,274.2369,1.284,260.807,1,304.06,1.284,260.807,1,304.06,3,274.2369,1,304.06
,Ready-to-eat mixed meal for children,1.284,260.107,1.284,260.107,1.284,260.107,1.284,260.107,1.284,260.107,1.284,260.107,1.284,260.107
,Ready-to-eat vegetable-based meal for children,0.3,325.952,1,303.44,1,303.44,1,303.44,1,303.44,0.3,325.952,1,303.44
,Simple cereals which have to be reconstituted with milk or other appropriate nutritious liquids,4,1117.46,4,831.98,4,1117.46,4,831.98,4,831.98,4,1117.46,4,831.98
Fruit and fruit products,American persimmons,8.8,538.22,0,387.575,0.8,222.912,0,387.575,8.8,538.22,8.8,538.22,0.8,222.912
,Apples and similar-,0.1,102.6395,6.3,143.537,6,141.291,6.3,143.537,6,138.897,0,130.3595,6,141.253
,"Apples and similar-, PROCESS Baking",,,6,141.337,6,141.337,6,141.337,6,323.255,6,323.255,6,116.195
,"Apples and similar-, PROCESS Cooking in water",6,103.333,6,103.333,6,103.333,6,103.333,6,106.669,6,103.333,6,165.842
,"Apples and similar-, PROCESS Steaming",6,103.333,6,103.333,6,103.333,6,103.333,6,106.669,6,103.333,6,165.842
,Apricots,1,212.843,3.06,282.067,4,328.502,3.06,363.167,3,336.583,0.2,337.923,4,318.283
,Arbutus berries,0.6,460.602,0.6,460.602,0.6,460.602,0.6,460.602,0.6,460.602,0.6,460.602,0.6,460.602
,Avocados,0.4,479.76,14.4,506.215,15.04,643.154,14.4,543.841,15,458.73,1,696.52,15,546.12
,Bilberries (European blueberries),12.1,161.4,12,106.348,12,106.348,12,106.348,12,115.6,12.1,161.4,12,122.29
,Blackberries,0,274.38,0.25,286.082,0,296.56,0.25,372.778,0,297.46,0,274.38,0,259.15
,Blackcurrants,30.1,498.538,31.1,475.923,30,397.206,31.1,497.833,31,275.18,30.1,498.538,31,493.473
,Blueberries,12,137.563,12.1,103.228,12,106.481,12.1,240.722,12,110.163,12,137.563,12,110.163
,"Candied fruit, cherry",1,178,1,178,1,178,1,97.225,1,95.365,1,178,1,95.365
,"Candied fruit, mixed fruit",,69.09,,69.09,,69.09,,69.09,,69.09,,69.09,,69.09
,"Candied fruit, orange peel",7,438.903,7,159.03,7,159.03,0,101,7,438.903,7,438.903,7,159.03
,Canned fruit cocktail,0.2,117.38,2.15,89.816,2.15,89.816,2,109.86,2,88.745,1,111.38,2,88.745
,"Canned fruit cocktail, MEDIUM In diluted sweet liquid-syrup",1.2,117.48,1.5,162.524,1.9,63.62,1,109.96,1,88.845,1.2,117.48,1,115.78
,"Canned fruit cocktail, MEDIUM In fruit/vegetable juice",1.1,111.17,1.1,63.62,1.1,63.62,1.1,63.62,1.1,126.148,1.1,63.62,1.1,126.148
,Canned or jarred apple,0.031,100.04,5.031,92.986,5.031,92.986,5.031,92.986,0.031,100.04,0.031,100.04,5.031,92.986
,"Canned or jarred apple, MEDIUM In diluted sweet liquid-syrup",3.212,90.42,3.212,68.705,3.212,68.705,3.212,68.705,3.212,90.42,3.212,90.42,3.212,68.705
,"Canned or jarred apple, MEDIUM In fruit/vegetable juice",3,68.672,3,68.672,3,68.672,3,68.672,3,68.672,3,68.672,3,68.672
,Canned or jarred apricot,0.2,212.35,5,208.992,5,208.992,5,188.472,5,183.91,0.2,172.33,5,183.91
,"Canned or jarred apricot, MEDIUM In diluted sweet liquid-syrup",2.2,212.178,2.1,187.577,2,156.287,2.1,185.671,2,183.738,2.2,212.178,2,183.738
,"Canned or jarred apricot, MEDIUM In fruit/vegetable juice",2.2,172.013,2.2,156.337,2.2,156.337,2.2,156.337,2.2,172.013,2.2,172.013,2.2,211.303
,Canned or jarred cranberry,8,129.365,8,129.365,8,129.365,8,129.365,8,129.365,8,129.365,8,129.365
,"Canned or jarred cranberry, MEDIUM In diluted sweet liquid-syrup",5.6,121.876,5.6,95.474,5.6,95.474,5.6,95.474,5.6,121.876,5.6,121.876,5.6,95.474
,"Canned or jarred cranberry, MEDIUM In fruit/vegetable juice",5,95.441,5,95.441,5,95.441,5,95.441,5,95.441,5,95.441,5,95.441
,Canned or jarred mandarin,0.2,104.243,3,145.862,3,145.862,3,145.862,3,81.559,0.2,104.243,3,81.559
,"Canned or jarred mandarin, MEDIUM In diluted sweet liquid-syrup",2,105.604,2,105.604,2,105.604,2,105.604,2,81.538,2,105.604,2,81.62
,"Canned or jarred mandarin, MEDIUM In fruit/vegetable juice",2,105.671,2,105.671,2,105.671,2,105.671,2,125.235,2,105.671,2,125.235
,Canned or jarred mixed fruit,2,89.816,2,89.816,2,89.816,2,109.86,2,88.745,2,89.816,2,88.745
,"Canned or jarred mixed fruit, MEDIUM In diluted sweet liquid-syrup",1,111.26,1.5,162.524,1,63.62,1.5,113.594,1,88.845,1,63.62,1,115.78
,"Canned or jarred mixed fruit, MEDIUM In fruit/vegetable juice",1.1,111.17,1.1,63.62,1.1,63.62,1.1,63.62,1.1,243.378,1.1,63.62,1.1,126.148
,Canned or jarred peach,0.5,121.403,2.3,123.213,2.3,123.213,2,171.053,2.5,130.985,0.3,113.803,2.5,130.985
,"Canned or jarred peach, MEDIUM In diluted sweet liquid-syrup",1.5,121.39,1.2,134.89,1.2,109.375,1.2,131.73,1.2,130.73,1.5,121.39,1.2,130.604
,"Canned or jarred peach, MEDIUM In fruit/vegetable juice",1,109.375,1,109.375,1,109.375,1,109.375,1,201.825,1,109.375,1,201.825
,Canned or jarred pear,0.2,81.75,0,111.341,0,111.341,0,111.341,0,92.862,0.2,81.75,0,92.862
,"Canned or jarred pear, MEDIUM In diluted sweet liquid-syrup",0.2,172.013,0.2,84.22,0.2,85.102,0.2,84.22,0,93.183,0.2,172.013,0,86.12
,"Canned or jarred pear, MEDIUM In fruit/vegetable juice",0,84.952,0,84.952,0,84.952,0,84.952,0,102.865,0,84.952,0,102.865
,Canned or jarred pineapple,0,175.06,0,163.982,0,163.982,0,113.04,0,132.853,0.2,157.02,0,132.853
,"Canned or jarred pineapple, MEDIUM In diluted sweet liquid-syrup",0,175.16,0.25,135.305,0,108.665,0.25,101.505,0,132.953,0,175.16,0,101.83
,"Canned or jarred pineapple, MEDIUM In fruit/vegetable juice",0,175.181,0,108.665,0,108.665,0,108.665,0,98.22,0,175.181,0,98.22
,Canned or jarred plum,6,201.077,6,201.077,6,201.077,6,201.077,6,102.952,6,201.077,6,102.952
,"Canned or jarred plum, MEDIUM In diluted sweet liquid-syrup",4.3,158.25,4.3,151.293,4.3,151.293,4.3,151.293,4,102.933,4.3,158.25,4,102.89
,"Canned or jarred plum, MEDIUM In fruit/vegetable juice",4,151.21,4,151.21,4,151.21,4,151.21,4,151.21,4,151.21,4,151.21
,Canned or jarred sour cherry,0,103.663,0,103.663,0,103.663,0,103.663,0,103.663,0,103.663,0,103.663
,"Canned or jarred sour cherry, MEDIUM In diluted sweet liquid-syrup",0.156,184.01,0.156,75.154,0.156,75.154,0.156,75.154,0.156,184.01,0.156,184.01,0.156,75.154
,"Canned or jarred sour cherry, MEDIUM In fruit/vegetable juice",0,75.154,0,75.154,0,75.154,0,75.154,0,75.154,0,75.154,0,75.154
,Canned or jarred sweet cherry,3,189.911,3,189.915,3,189.915,3,189.915,3,155.9,3,189.911,3,155.9
,"Canned or jarred sweet cherry, MEDIUM In diluted sweet liquid-syrup",2,139.663,1.3,166.86,2,139.663,1.3,166.86,2,155.85,2,139.663,2,155.61
,"Canned or jarred sweet cherry, MEDIUM In fruit/vegetable juice",1.3,147.012,1.3,139.646,1.3,139.646,1.3,139.646,1.3,147.012,1.3,147.012,1.3,139.646
,Carambolas,1,256.495,0.6,176.447,1,217.38,0.6,176.447,1,177.697,1,256.495,1,177.697
,Cherimoyas,1,192.623,1,322.85,1,322.85,1,322.85,1,260.554,1,192.623,1,322.85
,Cherries (sweet),2.1,218.447,2.05,258.944,2.156,290.184,2.05,288.544,2,309.527,2.1,218.447,3,255.013
,Chocolate coated dried fruit,7.9,478.119,7.9,478.119,7.9,478.119,7.9,478.119,7.9,478.119,7.9,478.119,7.9,478.119
,Chokecherries,2,812.61,2,812.61,2,812.61,2,812.61,2,812.61,2,812.61,2,812.61
,Citrons,0,160.118,0,160.118,,,0,160.118,0,160.118,0,160.118,0,160.118
,Citrus fruit peel,2,322.897,2,323.059,2,323.059,0,92.28,2,171.689,2,322.897,2,171.689
,Cloudberries,0.1,256.35,0.189,123.366,0.189,123.366,0.189,123.366,0.189,306.015,0,256.6,0.189,123.366
,Common banana,1,428.47,0.3,465.91,1,428.306,0.3,417.6,4,438.191,0.5,456.94,1,470.21
,"Common banana, PROCESS Baking",1.1,378.5603,0.6,422.473,0.6,422.473,0.6,422.473,0.6,146.015,,,0.6,422.473
,"Common banana, PROCESS Cooking in water",0,308.385,0,308.385,0,308.385,0,308.385,0,308.385,0,308.385,0,308.385
,"Common banana, PROCESS Steaming",0,367.425,0,367.425,0,367.425,0,367.425,0,367.425,0,367.425,0,367.425
,Cranberries,0.1,58.663,0,123.249,0,123.249,0,123.249,0,122.063,0.1,58.663,0,127.287
,Dates,3,324.413,1,181.27,1,181.27,0,466.1,1,487.87,3,324.413,1,490.32
,Dewberries and similar-,0,222.686,0,347.3,0,222.686,0,347.3,0,297.65,0,222.686,0,347.3
,Dried apples,0.2,880.01,20.2,729.535,20.2,729.535,19,864.162,19,1022.46,0.2,522.05,19,618.88
,Dried apricots,0.5,680.256,18.1,1773.597,18.4,1628.837,18.1,1221.397,25,1787.497,0.5,1599.496,25,2170.957
,Dried bananas,0.9,399.0922,0.9,1380.891,0.9,1380.891,0.9,1380.891,0.9,1317.125,,,0.9,615.422
,Dried dates,0.3,850.654,3,859.42,0,825.739,3,942.09,3,785.643,3,762.124,3,852.31
,Dried figs,,,0.3,1070.017,1,1229.758,0.3,1371.587,1,982.333,2.3,986.527,1,1396.857
,Dried pears,1,660.882,21,525.004,21,525.004,21,525.004,21,1037.798,1,660.882,21,907.798
,Dried prunes,0.3,1106.33,39.3,824.83,42,974.865,39.3,1007.69,40,983.33,0.5,930.08,42,898.65
,"Dried prunes, PROCESS Baking",0.5,525.022,40.5,911.558,40.5,911.558,40.5,911.558,0.5,525.022,0.5,525.022,40.5,911.558
,"Dried prunes, PROCESS Cooking in water",18,268.07,18,268.07,18,268.07,18,268.07,18,518.832,18,268.07,18,518.832
,"Dried prunes, PROCESS Steaming",17,313.022,17,313.022,17,313.022,17,313.022,17,518.765,17,313.022,17,518.765
,Dried vine fruits (raisins etc.),0.4,829.93,4.4,961,6,1018.17,4.4,1008.393,12,987.63,0.5,931.82,12,1183.81
,Elderberries,0,432.61,0,432.61,0,432.61,0,432.61,0,410.597,0,432.61,0,410.597
,Figs,0.3,948.101,0.2,292.828,0,358.379,0.2,356.278,0,355.98,2,297.838,0,269.527
,Fruit chips,0.641,1134.665,18.641,729.864,18.641,729.864,18.641,729.502,0.641,1134.665,0.641,1134.665,18.641,614.296
,"Fruit compote, apple",3.1,115.7065,3.3,154.309,3,78.878,3.3,154.309,3,111.05,3.1,115.7065,3,154.65
,"Fruit compote, apricot",,,3,158.447,3,158.447,3,158.447,3,217.961,,,3,217.961
,"Fruit compote, mixed fruit",0.3,184.94,0.3,184.94,0.3,184.94,,272.24,0.3,184.94,0.3,184.94,0.3,184.94
,"Fruit compote, peach",1,108.423,1,108.423,1,108.423,1,108.423,1,108.423,1,108.423,1,108.423
,"Fruit compote, pear",3,72.66,3,72.66,3,72.66,3,72.66,3,133.676,3,72.66,3,133.676
,"Fruit compote, pineapple",0,143.901,0,143.901,0,143.901,0,143.901,0,143.901,0,143.901,0,143.901
,"Fruit compote, plum",6,122.462,6,122.462,6,122.462,6,122.462,6,122.462,6,122.462,6,122.462
,"Fruit compote, sour cherry",0,94.259,0,94.259,0,94.259,0,94.259,0,94.259,0,94.259,0,94.259
,"Fruit compote, sweet cherry",2,176.028,2,176.028,2,176.028,2,176.028,2,203.821,2,176.028,2,203.821
,Fruit or fruit-vegetable puree,1,136.012,1,136.012,1,136.012,1,136.012,1,136.012,1,136.012,1,136.012
,Fruit preparations for fillings and/or flavouring,1,97.774,1,97.774,1,97.774,1,97.774,1,171.876,1,97.774,1,135.436
,Fruit salad,3.2,209.709,3.36,245.9307,4,228.439,3.36,245.9307,4,221.297,,,4,221.297
,Gooseberries and similar-,0.1,265.923,0.35,249.319,0.2,276.029,0.35,249.319,0,267.203,0,221.603,0,280.41
,Granate apples,,,0.6,274.808,0,250.065,0.6,304.911,0,258.624,1,276.274,0,294.77
,Grapefruits,0.1,225.07,3.1,227.677,4,193.974,3.1,271.814,3,212.23,0.2,180.04,4,252.87
,Guavas and similar-,,,0,146.977,0.6,354.337,0,178.677,1,348.62,1,343.05,1,282.637
,"Jam, apricots",1,97.741,1.6,138.612,1,97.741,1,109.04,1,91.203,1,97.741,1,86.493
,"Jam, apricots, SWEET Fructose",0,52.385,0,52.385,0,52.385,0,52.385,0,52.385,0,52.385,0,52.385
,"Jam, blackberries",0,85.965,0,85.965,0,85.965,0,85.965,0,91.203,0,85.965,0,70.543
,"Jam, blackberries, SWEET Fructose",2,103.695,2,103.695,2,103.695,2,103.695,2,103.695,2,103.695,2,103.695
,"Jam, blueberries",2.3,196.02,2,42.775,2,42.775,2,42.775,2,91.203,2,42.775,2,91.203
,"Jam, blueberries, SWEET Fructose",2,103.695,2,103.695,2,103.695,2,103.695,2,103.695,2,103.695,2,103.695
,"Jam, cranberries",0.3,196.02,0,43.734,0,43.734,0,43.734,0,91.203,0,43.734,0,91.203
,"Jam, cranberries, SWEET Fructose",2,103.695,2,103.695,2,103.695,2,103.695,2,103.695,2,103.695,2,103.695
,"Jam, currants (black)",6.3,196.02,6,147.299,6,147.299,6,147.299,6,91.203,6,147.299,6,70.543
,"Jam, currants (black), SWEET Fructose",2,69.558,2,103.695,2,103.695,2,103.695,2,69.558,2,69.558,2,103.695
,"Jam, currants (red)",2.3,196.02,2,115.071,2,115.071,2,115.071,2,91.203,2,115.071,2,70.543
,"Jam, currants (red), SWEET Fructose",2,103.922,2,103.695,2,103.695,2,103.695,2,103.922,2,103.922,2,103.695
,"Jam, gooseberries",0,103.771,0,103.771,0,103.771,0,103.771,0,91.203,0,103.771,0,91.203
,"Jam, gooseberries, SWEET Fructose",2,103.695,2,103.695,2,103.695,2,103.695,2,103.695,2,103.695,2,103.695
,"Jam, lingonberry",,,0,43.734,0,43.734,0,43.734,0,91.203,0.3,74.482,0,91.203
,"Jam, lingonberry, SWEET Fructose",2,103.695,2,103.695,2,103.695,2,103.695,2,103.695,2,103.695,2,103.695
,"Jam, mixed fruit",1.3,28.19,1.5,127.946,1,118.719,1.5,132.99,1,91.203,1.3,28.19,1,91.203
,"Jam, mixed fruit, SWEET Fructose",2,79.02,2.3,103.695,2.3,103.695,2.3,103.695,2.3,82.147,2,79.02,2.3,103.695
,"Jam, oranges",0,93.403,0.3,110.819,0,93.403,0,92.8,0,91.203,0,93.403,0,91.203
,"Jam, oranges, SWEET Fructose",0.3,162.827,0.3,78.257,0.3,78.257,0.3,78.257,0.3,162.827,0.3,162.827,0.3,78.257
,"Jam, peaches",1,86.734,1,86.734,1,86.734,1,86.734,1,91.203,1,86.734,1,86.493
,"Jam, peaches, SWEET Fructose",0,52.385,0,52.385,0,52.385,0,52.385,0,52.385,0,52.385,0,52.385
,"Jam, plums",2,86.635,2,86.635,2,86.635,2,413.91,2,91.203,2,86.635,2,86.493
,"Jam, plums, SWEET Fructose",0,52.385,0,52.385,0,52.385,0,52.385,0,52.385,0,52.385,0,52.385
,"Jam, raspberries",2.3,196.02,2,99.021,2,99.021,2,99.021,2,91.203,2,99.021,2,70.543
,"Jam, raspberries, SWEET Fructose",2,103.695,2,103.695,2,103.695,2,103.695,2,103.695,2,103.695,2,103.695
,"Jam, rose hips",17,318.857,17,318.857,17,318.857,17,318.857,17,149.85,17,318.857,17,149.85
,"Jam, rose hips, SWEET Fructose",2,103.695,2,103.695,2,103.695,2,103.695,2,103.695,2,103.695,2,103.695
,"Jam, sour cherry",0,112.839,0,112.839,0,112.839,0,112.839,0,91.203,0,112.839,0,91.203
,"Jam, sour cherry, SWEET Fructose",0,52.385,0,52.385,0,52.385,0,52.385,0,52.385,0,52.385,0,52.385
,"Jam, strawberries",0.3,171.3735,1.3,110.667,1,83.968,1.3,110.667,1,91.42,0,125.1405,1,70.76
,"Jam, strawberries, SWEET Fructose",0.3,77.179,2.3,103.712,2.3,103.712,2.3,103.712,0.3,77.179,0.3,77.179,2.3,103.712
,"Jam, sweet cherry",0,112.839,2,106.85,0,112.839,2,106.85,0,91.203,0,112.839,0,86.493
,"Jam, sweet cherry, SWEET Fructose",0,52.385,0,52.385,0,52.385,0,52.385,0,52.385,0,52.385,0,52.385
,Kaki and similar-,,,0.6,226.105,0.6,222.779,0.6,206.308,0.6,226.105,,,0.6,222.779
,"Kiwi fruits (green, red, yellow)",0.5,352,25.25,352.64,26,415.2,25.25,509.641,26,392.952,1,359.45,26,364.88
,Lemons,0.4,225.103,1.39,189.815,0.12,226.477,1.39,175.147,0,238.403,0.4,225.103,1,193.8
,Limes,0.2,163.435,3.4,153.795,3,122.143,3,263.24,3,231.18,0.2,163.435,3,183.18
,Lingonberries,0.1,131.017,1.1,113.067,1.1,113.067,1.1,113.067,0,122.147,0,130.887,0,122.147
,Litchis,0,456.685,0.6,219.167,0,244.138,0.6,195.401,0,238,0,456.685,0,207.353
,Loganberries,0,347.063,0,347.063,0,347.063,0,347.063,0,297.443,0,347.063,0,347.16
,Loquats,1,316.313,0.6,307.795,1,316.313,0.6,291.895,1,273.563,1,316.313,1,273.563
,Mandarins,0.1,217.37,5.2,188.388,3.05,215.14,5.2,270.668,0,200.076,0.1,217.37,0,200.076
,Mandarins and similar-,0.1,217.303,5.2,188.321,3.4,215.107,5.2,218.601,3,200.009,0.2,196.023,3,200.009
,Mangoes,1,188.916,0.6,187.697,2,215.706,0.6,282.855,2,182.25,1,188.916,2,224.99
,"Marmalade, oranges",0.3,65.0988,0.3,110.819,1,53.369,0,92.773,0,91.203,0.3,43.5988,1,71.063
,"Marmalade, oranges, SWEET Fructose",0.4,124.39,0.4,78.2,0.4,78.2,0.4,78.2,0.4,124.39,0.4,124.39,0.4,78.2
,Medlars,0.212,152.242,0.212,320.717,0.212,320.717,0.212,320.717,0.212,152.242,0.212,152.242,0.212,320.75
,Mixed dried fruits,10,796.493,7,882.125,10,796.493,7,1113.43,10,1208.16,10,796.493,10,1061.823
,Mulberries (black and white),0.6,362.157,0.6,292.48,0.6,362.157,0,347.167,0.6,362.4,0.6,362.157,0.6,362.4
,Oranges and similar-,0.1,241.486,0.6,223.074,0.22,237.262,0.6,284.054,0,235.35,0.2,235.496,1,229.24
,Papayas,1,296.55,0.6,277.417,2,271.213,0.6,202.368,2,214.99,1,296.55,2,214.99
,Passionfruits,1,464.71,0.6,459.836,1,346.73,0.6,312.076,1,345.87,1,464.71,1,309.67
,Peaches and similar-,0.4,241.507,2.15,249.789,2.114,229.525,2.15,249.789,2,212.981,0.2,241.777,3,199.44
,Pears and similar-,6,181.92,5.15,145.162,5,143.08,5.15,161.213,5,159.565,6,181.92,5,182.15
,"Pears and similar-, PROCESS Baking",6,234.715,6,125.131,6,125.131,6,125.131,6,234.715,6,234.715,6,125.131
,"Pears and similar-, PROCESS Cooking in water",6.2,106.127,6.2,84.07,6.2,106.127,6.2,84.07,6.2,157.076,6.2,106.127,6.2,157.076
,Pineapples,0.6,209.28,0.33,213.721,0,223.18,0.33,296.938,0,152.166,0.6,142.21,0,205.11
,"Pineapples, PROCESS Baking",1,566.58,1,224.257,1,224.257,1,224.257,1,566.58,1,566.58,1,224.257
,"Pineapples, PROCESS Cooking in water",0,163.177,0,163.177,0,163.177,0,163.177,0,163.177,0,163.177,0,163.177
,"Pineapples, PROCESS Steaming",0,194.207,0,194.207,0,194.207,0,194.207,0,194.207,0,194.207,0,194.207
,Plums and similar-,8.1,268.06,8,193.953,8,193.953,8,225.972,8,236.481,8.1,268.06,8,286.54
,Pomelos,0,283.96,0,283.96,0,283.96,0,283.96,0,283.96,0,283.96,0,283.96
,Prickly pears,1,386.19,0,387.375,1,231.908,0,332.48,0,349.37,1,386.19,0,349.37
,Quinces,0.326,195.387,0.6,235.777,0.326,222.658,0.6,224.643,0.326,195.387,0.326,195.387,0.326,240.677
,Raspberries (red and yellow),0.1,320.243,10.2,276.998,10,316.852,10.2,346.11,10,290.163,0,233.643,10,247.52
,Raspberries and similar-,10.1,320.44,10.2,276.998,10.189,316.852,10,323.91,10,290.36,10.1,320.44,10,247.52
,Redcurrants,11.1,413.481,11.068,328.495,11.068,328.495,11,488.942,11,369.99,11.1,413.481,11,361.233
,Rose hips and similar-,92.2,1038.213,92.2,919.266,92.2,919.266,92.2,919.266,92.2,919.266,92.2,1038.213,92.2,919.266
,Sea buckthorns,0.1,218.13,0.1,218.937,0.1,218.937,0.1,218.937,0.1,309.692,0.1,218.13,0.1,218.937
,Sour cherries,0.1,198.5307,0.1,150.64,0.1,150.64,1,155.41,1,291.167,0,264.6107,1,291.167
,Strawberries and similar-,5.1,258.22,5.1,201.796,5.1,222.811,5.1,237.01,5,241.866,5.1,258.22,5,211.65
,Table grapes,0.4,219.459,10,237.598,10,237.598,10,231.323,9,285.19,0.4,219.459,10,249.277
,Tamarillos,0.3,349.263,0,388.278,0.3,388.073,0,388.278,0.3,349.263,0.3,349.263,0.3,388.073
,Tangelos (except minneolas),3.251,146.612,3.251,146.612,3.251,146.612,3.251,146.612,3.251,146.612,3.251,146.612,3.251,146.612
,Wine grapes,20.1,257.3675,9.2,237.664,9.2,237.664,9.2,237.664,20.2,244.178,20.1,257.3675,9.2,237.664
Fruit and vegetable juices and nectars,Dehydrated/powdered vegetable juice,57.22,3821.371,0,3821.371,0,3821.371,0,3821.371,0,3821.371,0,3821.371,0,3821.371
,Fruit smoothies,4,584.183,4,584.183,4,584.183,4,584.183,4,206.022,4,584.183,4,206.022
,"Juice concentrate, black currant",3,142.037,3,114.187,3,142.037,3,114.187,3,142.037,3,142.037,3,114.187
,"Juice concentrate, orange",0.042,217.563,0.042,133.776,0.042,217.563,0.042,133.776,0.042,217.563,0.042,217.563,0.042,133.776
,"Juice concentrate, raspberry",,0.4,,0.4,,0.4,,0.4,,0.4,,0.4,,0.4
,"Juice concentrate, sweet cherry",,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25
,"Juice, apple",0.1,130.4527,0.1,130.646,0.031,135.398,0,123.457,0,121.274,0,138.7827,0,128.477
,"Juice, apple-carrot",,,10,164.322,10,164.322,10,164.322,10,346.667,,,10,164.322
,"Juice, apple-cherry",0,172.856,0,172.856,0,172.856,0,172.856,0,172.856,0,172.856,0,172.856
,"Juice, apple-cherry, FORT Combination of vitamin and mineral only supplements",1.5,226.45,1.5,226.25,1.5,226.2,1.5,226.2,1.5,226.5,1.5,226.26,1.5,226.2
,"Juice, apple, FORT Vitamin only supplements",6,128.2,6,128.2,6,128.2,6,128.2,6,144.499,6,128.2,6,144.499
,"Juice, apricot",3,289.298,3,289.298,3,289.298,3,23.411,3,289.298,3,289.298,3,289.298
,"Juice, apricot-orange",2,212.546,2,212.546,2,212.546,2,212.546,2,173.127,2,212.546,2,173.127
,"Juice, apricot-orange, FORT Combination of vitamin and mineral only supplements",1.5,226.46,1.5,226.26,1.5,226.21,1.5,226.21,1.5,226.5,1.5,226.27,1.5,226.2
,"Juice, beetroot",5,296.279,5,296.279,5,296.279,5,243.992,5,345.538,5,296.279,5,345.538
,"Juice, black currant",3.15,237.228,0.3,362.088,0.3,362.088,0.3,362.088,0.3,238.928,0.3,237.228,0.3,238.928
,"Juice, blackberry",0,275.46,0,275.46,0,275.46,0,275.46,0,238.92,0,275.46,0,238.92
,"Juice, carrot",0.1,375.639,16.6,337.982,17,288.616,16.6,337.982,17,309.11,0.1,375.639,17,290.94
,"Juice, celery",43,526.573,43,526.573,43,526.573,43,526.573,43,526.573,43,526.573,43,526.573
,"Juice, cranberry",0.1,94.41,0,113.216,0,113.216,0,113.216,0,238.813,0.1,94.41,0,238.813
,"Juice, elderberry",0,380.943,0,382.5,0,382.5,0,382.5,0,380.943,0,380.943,0,382.5
,"Juice, grape",0.1,270.402,1.1,155.448,1,183.442,1.1,147.442,1,136.312,0.1,163.05,1,96.733
,"Juice, grapefruit",3.1,226.815,4.1,163.551,3,180.366,3,150.36,3,170.762,3.1,226.815,4,133.81
,"Juice, lemon",1,152.52,0.1,170.562,0.12,202.425,0.1,170.592,1,167.45,1.8,144.76,1,152.57
,"Juice, lime",0.2,131.499,3.1,104.622,4,95.962,3.1,104.622,4,167.519,0.2,131.499,4,132.469
,"Juice, mango",0.1,193.53,0.1,66.878,0.1,193.53,0.1,66.878,0.1,63.614,0.1,193.53,0.1,63.614
,"Juice, mixed fruit",1.1,162.28,1.5,181.63,1.15,138.324,1,90.052,1,172.856,1.1,162.28,1,172.856
,"Juice, multi-vegetable",13.2,137.053,24.34,293.134,24.208,349.485,24.34,293.134,13.208,237.779,,,13.208,237.779
,"Juice, orange",0.1,226.023,0.6,222.961,0.042,186.01,0.6,224.507,0,213.875,0.1,226.033,1,227.05
,"Juice, orange-grapefruit",0,172.856,0,172.856,0,172.856,,181.08,0,172.856,0,172.856,0,172.856
,"Juice, orange-grapefruit, FORT Combination of vitamin and mineral only supplements",1.5,226.45,0.5,194.27,1.5,226.2,0.5,194.24,1.5,226.5,1.5,226.26,1.5,226.2
