Food class level 1,Metrics,Concentration levels,Concentration levels,Concentration levels,Concentration levels
,Country,Sweden,Sweden,United Kingdom,United Kingdom
,Food (FoodEx2 description),Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram
,"Cocoa beverages, QUAL Low / Reduced sugar",3.1,309.357,3.2,409.095
,"Cocoa beverages, QUAL Sugar free",1.1,309.357,1.4,446.007
,Cocoa mass,8.4,5159.294,8.4,5159.294
,Cocoa powder,1,4800,18.3,2837.047
,"Cocoa powder, QUAL Low / Reduced sugar",5.2,5155.744,5.2,5155.744
,"Cocoa powder, QUAL Sugar free",5.2,5155.744,5.2,5155.744
,Coffee (average strenght) beverage,,0,0,110.84
,Coffee (weak strenght) beverage,0,78.699,0,76.74
,"Coffee beans, roasted",10,2566.241,10,2566.241
,Coffee beverage decaffeinated,0.1,47.356,0.1,77.024
,"Coffee drink, caf� macchiato",0.4,349.44,0.4,349.44
,"Coffee drink, cappuccino",1.2,221.254,1.21,198.048
,Coffee espresso (beverage),0,209.62,0,136.437
,"Coffee ground, roasted",10,2566.241,10,2566.241
,"Coffee ground, roasted and decaffeinated",5,2565.9,5,2565.9
,Coffee with milk or cream,0,86.118,0,56.96
,Fermented tea infusion,0.1,41.135,0,78.387
,Flowers used for herbal infusions,0,1073.183,0,1073.183
,Fruit infusion,0.1,15.915,0.1,12.189
,Herbal infusion materials from leaves and herbs,262,2350.582,262,2350.582
,Hot chocolate,2.9,406.8951,1.8,421.02
,Hot chocolate with added ingredients,0.23,455.84,0.23,455.84
,"Hot chocolate with added ingredients, QUAL Sugar free",1.1,309.357,1.1,309.357
,"Hot chocolate, QUAL Low / Reduced sugar",2.3,394.217,2.2,409.32
,"Hot chocolate, QUAL Sugar free",1.1,309.357,1.4,446.007
,Instant coffee (beverage),0.03,41.284,0,40.56
,Instant coffee powder,3,4931.04,9,4594.29
,"Instant coffee powder, decaffeinated",17.3,4271.906,17.3,4272.568
,"Instant coffee powder, decaffeinated, QUAL Low / Reduced sugar",17.3,4271.906,17.3,4272.568
,"Instant coffee powder, decaffeinated, QUAL Sugar free",17.3,4271.906,17.3,4272.568
,"Instant coffee powder, QUAL Low / Reduced sugar",0.03,4.243,0.03,4907.649
,"Instant coffee powder, QUAL Sugar free",0.03,4.243,0.03,4907.649
,Jasmine infusion,0.1,12.189,0.1,12.189
,Malt coffee infusion,1.1,60.45,1.1,60.45
,Mixed coffee imitates,9.4,792.16,9.4,792.16
,Non-fermented tea leaves (green or white tea),262,2350.582,262,2350.582
,"Non-fermented tea, infusion",,,0.1,26.749
,Rooibos infusion,0.1,12.189,0.1,12.189
,Tea infusion with added flavouring ingredients,,,,
,Tea leaves and stalks decaffeinated,267.4,2350.582,267.4,2350.582
,Tea leaves and stalks with fruit and flavours,0,1079.192,0,1079.192
,"Tea leaves and stalks, fermented",267.4,3518.09,267.4,2350.582
,Tea powder ingredients and extracts,0,7492.045,0,7492.045
,"Tea, decaffeinated, infusion",0,29.431,0,29.431
Composite dishes,Beans and meat meal,12,383.3089,7.6,410.52
,Beans and vegetables meal,14.33,607.402,5,517.443
,Beef loaf,26.2,677.5194,28.7,642.18
,Bouillabaisse,,,12.9,385.152
,Ceasar salad,4.2,450.7493,4.2,450.7493
,Cereal products and grains based soup,0.59,145.9663,9.59,212.875
,Cheese omelette,34.8,701.0059,20.3,705.28
,Cheese savoury pie,14.1,543.8443,6.6,443.93
,Creamed vegetable mix,1,260.046,18.3,570.81
,Dairy/egg soup,,,6.6,192.89
,Dolma,1.02,149.454,1.02,264.768
,"Dolma, PROCESS Baking",26.4,524.7727,26.2,264.768
,"Dolma, PROCESS Cooking in water",22.8,475.1543,24,399.139
,"Dolma, PROCESS Steaming",22.8,475.1543,24,399.139
,Doner kebab,2.26,357.355,7,458.1
,Finger food,5.94,512.372,5.94,512.372
,Fish and potatoes meal,12.3,664.5388,10.7,461.072
,Fish and rice meal,10.5,513.7593,25.7,534.264
,Fish and vegetables meal,,,36.7,428.349
,Fish balls,,,15.1,466.913
,"Fish balls, PROCESS Baking",4.4,492.631,4.4,492.631
,"Fish balls, PROCESS Cooking in water",29.8,720.0823,26.3,255.561
,"Fish balls, PROCESS Frying",13.7,472.87,17.4,492.631
,"Fish balls, PROCESS Steaming",29.8,720.0823,26.3,255.561
,"Fish fingers, breaded",,3.8,24,629.99
,Fish gratin,,,17.9,572.602
,Fish p�t�,14,502.492,20,350.81
,Fish soup,14.8,431.0904,19.1,330.759
,"Fish soup, INGRED Tap water",16.3,306.989,16.3,306.989
,Fishcakes,,,11.3,432.347
,Fried eggs,37.7,436.6135,23.6,470.31
,Fruit soup,1.2,116.6824,1.2,132.923
,Goulash,7.9,406.631,3.57,383.579
,Greek salad,19.3,329.8011,17.2,284.124
,Hamburger with bread,4.96,421.3569,22,458.23
,Hot dog with bread,,,31.9,330.409
,Hummus,,,4,460.31
,Lasagna,6.4,511.7737,6.2,456.169
,Legume (beans) soup,1.7,304.3795,11,162.43
,Legumes based dishes,10.3,711.5157,23,662.72
,Meat and vegetable soup,9.4,412.3632,9.24,290.742
,Meat balls,3.1,518.716,19.6,477.973
,Meat burger (no sandwich),40.1,441.7184,26,640.74
,Meat in aspic,0.6,511.75,0.6,511.75
,Meat loaf,,,33,552.5
,"Meat loaf with cheese, vegetables or other",27.8,430.9994,27.8,356.062
,Meat soup,9.1,264.0936,8,181.254
,Meat stew,30.1,210.2277,26.8,375.6
,Meat terrine,50,348.997,50,348.997
,Mixed green salad,107,338.447,107,227.658
,Mixed vegetable salad,31.3,377.2699,31.2,318.92
