Food class level 1,Metrics,Concentration levels,Concentration levels,Concentration levels,Concentration levels
,Country,Sweden,Sweden,United Kingdom,United Kingdom
,Food (FoodEx2 description),Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram
,"Herrings, PROCESS Cooking in water",8.5,685.548,8.5,685.548
,"Herrings, PROCESS Frying",9,710.808,9,710.836
,"Herrings, PROCESS Pickling",30,350.22,25.1,90.333
,"Herrings, PROCESS Steaming",8.5,685.548,8.5,685.548
,Largemouth black bass,,202.24,,202.24
,"Lobster, european",42.3,506.273,39.1,550.658
,"Lobster, european, PROCESS Baking",1.1,589.941,1.1,589.921
,"Lobster, european, PROCESS Cooking in water",52.8,631.1987,57,627.93
,"Lobster, european, PROCESS Frying",1.1,589.941,1.1,589.921
,"Lobster, european, PROCESS Steaming",52.8,631.1987,57,627.93
,"Lobster, norway",55.9,487.32,55.9,487.32
,"Lobster, norway, PROCESS Cooking in water",,,132,552.67
,"Lobster, norway, PROCESS Steaming",,,132,552.67
,"Lobsters (including lobster meat), cooked-deprecated",38.6,470.78,57,627.93
,Mackerel,40.3,576.54,40,539.85
,Mackerel and mackerel-like fishes-deprecated,41,682.177,40,539.85
,"Mackerel and mackerel-like fishes-deprecated, PROCESS Baking",47.6,706.798,39,646.67
,"Mackerel and mackerel-like fishes-deprecated, PROCESS Cooking in water",42,606.917,44,695.74
,"Mackerel and mackerel-like fishes-deprecated, PROCESS Frying",49.6,706.931,51,682.445
,"Mackerel and mackerel-like fishes-deprecated, PROCESS Steaming",47.5,701.712,44,695.74
,"Mackerel, PROCESS Baking",,,39,646.67
,"Mackerel, PROCESS Cooking in water",47.5,701.712,44,695.74
,"Mackerel, PROCESS Frying",49.6,706.931,51,682.445
,"Mackerel, PROCESS Steaming",47.5,701.712,44,695.74
,"Marine shrimps or prawns, cooked-deprecated",19.7,543,31,702.88
,Miscellaneous coastal marine fishes,51.4,682.023,50,669.73
,"Miscellaneous coastal marine fishes, PROCESS Baking",60.9,432.225,57,782.02
,"Miscellaneous coastal marine fishes, PROCESS Cooking in water",11.5,701.469,11.5,701.331
,"Miscellaneous coastal marine fishes, PROCESS Frying",11.6,706.493,11.6,706.413
,"Miscellaneous coastal marine fishes, PROCESS Steaming",38,701.469,38,701.431
,Miscellaneous demersal marine fishes,18,734.195,18,602.042
,"Miscellaneous demersal marine fishes, PROCESS Baking",19,642.257,19,642.257
,"Miscellaneous demersal marine fishes, PROCESS Cooking in water",23.6,616.172,23.6,616.172
,"Miscellaneous demersal marine fishes, PROCESS Frying",1.6,642.587,1.6,642.587
,"Miscellaneous demersal marine fishes, PROCESS Steaming",28,616.172,28,616.172
,Miscellaneous marine crustaceans,0.8,663.862,0.8,663.862
,"Miscellaneous marine crustaceans, PROCESS Baking",13.4,711.894,13.4,711.894
,"Miscellaneous marine crustaceans, PROCESS Cooking in water",13.3,693.911,13.3,693.911
,"Miscellaneous marine crustaceans, PROCESS Frying",13.4,711.894,13.4,711.894
,"Miscellaneous marine crustaceans, PROCESS Steaming",13.3,624.81,13.3,624.81
,Miscellaneous pelagic marine fishes,32.1,670.216,34.8,686.446
,"Miscellaneous pelagic marine fishes, PROCESS Baking",9,710.836,9,710.836
,"Miscellaneous pelagic marine fishes, PROCESS Cooking in water",8.5,685.548,8.5,685.548
,"Miscellaneous pelagic marine fishes, PROCESS Frying",9,710.836,9,710.836
,"Miscellaneous pelagic marine fishes, PROCESS Steaming",8.5,685.548,8.5,685.548
,Mullets,48.2,715.995,48,666.863
,"Mullets, PROCESS Baking",55.5,611.574,56,782.02
,"Mullets, PROCESS Cooking in water",1.5,611.574,1.5,611.574
,"Mullets, PROCESS Frying",1.5,611.574,1.5,611.574
,"Mullets, PROCESS Steaming",1.5,611.574,1.5,611.574
,Mussels,82,586.75,70,634.91
,"Mussels, PROCESS Baking",8.7,585.318,8.7,585.318
,"Mussels, PROCESS Cooking in water",70,591.13,65,435.72
,"Mussels, PROCESS Frying",8.7,585.318,22,489.881
,"Mussels, PROCESS Steaming",70,591.13,65,435.72
,Nile perch,1,699.345,1,699.345
,"Nile perch, PROCESS Baking",1.1,750.691,1.1,750.691
,"Nile perch, PROCESS Cooking in water",1,726.818,1,726.818
,"Nile perch, PROCESS Frying",1.1,765.986,1.1,765.986
,"Nile perch, PROCESS Steaming",1,726.818,1,726.818
,Ocean perch,56.3,545.326,56.3,545.326
,"Ocean perch, PROCESS Baking",14.6,613.621,14.6,613.621
,"Ocean perch, PROCESS Cooking in water",4.41,1.2,4.41,1.2
,"Ocean perch, PROCESS Steaming",4.41,1.2,4.41,1.2
,Octopuses,85,477.703,77,474.8
,"Octopuses, PROCESS Baking",5.7,516.849,5.7,516.849
,"Octopuses, PROCESS Cooking in water",5.3,492.164,2,492.361
,"Octopuses, PROCESS Frying",5.7,516.849,5.7,516.849
,"Octopuses, PROCESS Steaming",5.3,492.164,2,492.361
,Other fish offal,19,135.4066,19,135.4066
,Oysters,88,449.01,40,729.85
,"Oysters, PROCESS Baking",15.9,529.834,15.9,529.834
,"Oysters, PROCESS Cooking in water",13.8,460.149,13.8,460.149
,"Oysters, PROCESS Frying",15.9,529.834,15.9,529.834
,"Oysters, PROCESS Steaming",13.8,460.149,13.8,460.149
,Pacific salmon (generic),38.4,588.115,30,694.65
,"Pacific salmon (generic), PROCESS Baking",25.99,862.402,25.99,862.402
,"Pacific salmon (generic), PROCESS Cooking in water",25.99,862.402,25.99,862.402
,"Pacific salmon (generic), PROCESS Frying",4.2,689.555,4.2,689.555
,"Pacific salmon (generic), PROCESS Steaming",25.99,862.402,25.99,862.402
,Perch,29.9,715.01,25,699.345
,"Perch, golden",62.9,465.91,62.9,465.91
,"Perch, golden, PROCESS Baking",4.41,1.2,4.41,1.2
,"Perch, golden, PROCESS Cooking in water",4.41,1.2,4.41,1.2
,"Perch, golden, PROCESS Steaming",4.41,1.2,4.41,1.2
,"Perch, PROCESS Baking",30.5,779.2586,17.01,616.837
,"Perch, PROCESS Cooking in water",1,726.818,4.41,727.614
,"Perch, PROCESS Frying",,,1.1,765.986
,"Perch, PROCESS Steaming",1,726.818,4.41,727.614
,Pike,24,669.7,7.42,629.074
,Pike-perch,39,649.04,24.6,697.065
,"Pike-perch, PROCESS Baking",4.8,753.325,4.8,753.325
,"Pike-perch, PROCESS Cooking in water",4.6,708.966,4.6,708.966
,"Pike-perch, PROCESS Frying",4.8,753.325,4.8,753.325
,"Pike-perch, PROCESS Steaming",4.6,708.966,4.6,708.966
,"Pike, PROCESS Baking",2.2,677.221,2.2,677.221
,"Pike, PROCESS Cooking in water",2,637.333,2,637.333
,"Pike, PROCESS Frying",,,2.2,677.221
,"Pike, PROCESS Steaming",2.2,675.225,2.2,675.225
,Plaice,30.49,617.396,38,536.397
,"Plaice, PROCESS Baking",46.6,642.824,47,650.791
,"Plaice, PROCESS Cooking in water",41.5,617.289,41,507.032
,"Plaice, PROCESS Frying",49.6,642.587,50,640.236
,"Plaice, PROCESS Steaming",41.5,617.289,41,507.032
,"Pomfret, atlantic",,719.61,,719.61
,Rays,0.47,549.16,0.47,546.16
,"Rays, PROCESS Baking",8,631.59,8,631.59
,"Rays, PROCESS Cooking in water",5,473.13,5,473.13
,"Rays, PROCESS Steaming",5,473.13,5,473.13
,River eels,58,733.76,32,632.31
,"River eels, PROCESS Baking",29.1,707.494,29.1,707.494
,"River eels, PROCESS Cooking in water",31.1,698.259,34,501.869
,"River eels, PROCESS Frying",1.1,707.677,1.1,707.677
,"River eels, PROCESS Steaming",31.1,698.259,34,501.869
,Roaches,24.4,712.414,24.4,712.414
,"Salmon roe, atlantic",18,810.217,18,810.217
,"Salmon, threadfin",30,691.15,30,691.15
,"Salmon, threadfin, PROCESS Baking",25.99,862.402,25.99,862.402
,"Salmon, threadfin, PROCESS Cooking in water",25.99,862.402,25.99,862.402
,"Salmon, threadfin, PROCESS Steaming",25.99,862.402,25.99,862.402
,Sardines and sardine-type fishes,34.1,806.61,45,762.14
,"Sardines and sardine-type fishes, PROCESS Baking",38.2,854.484,50,902.592
,"Sardines and sardine-type fishes, PROCESS Cooking in water",46.5,916.84,35.2,849.621
,"Sardines and sardine-type fishes, PROCESS Frying",0.2,853.684,0.2,853.684
,"Sardines and sardine-type fishes, PROCESS Steaming",46.5,857.62,35.2,849.621
,"Scallops, pectens",24,587.643,23.53,627.263
,"Scallops, pectens, PROCESS Baking",2.2,625.655,2.2,625.655
,"Scallops, pectens, PROCESS Cooking in water",53,594.619,60,557.549
,"Scallops, pectens, PROCESS Frying",,0.05,24.4,625.559
,"Scallops, pectens, PROCESS Steaming",53,594.619,60,557.549
,Sea bass,4,742.359,4,742.359
,"Sea bass, PROCESS Cooking in water",1.1,722.45,1.1,722.45
,"Sea bass, PROCESS Steaming",1.1,722.45,1.1,722.45
,Sea bream,2,573.44,2,573.44
,"Sea bream, PROCESS Cooking in water",1.1,524.729,1.1,524.729
,"Sea bream, PROCESS Steaming",1.1,524.729,1.1,524.729
,Sea-squirts and other tunicates,2,642.857,2,642.857
,"Sea-squirts and other tunicates, PROCESS Baking",1.5,588.292,1.5,588.292
,"Sea-squirts and other tunicates, PROCESS Cooking in water",46.1,462.729,65.8,529.59
,"Sea-squirts and other tunicates, PROCESS Frying",1.5,588.292,1.5,588.292
,"Sea-squirts and other tunicates, PROCESS Steaming",1.3,462.729,21,529.59
,Shads,11,655.103,11,655.103
,"Shads, PROCESS Baking",9,710.836,9,710.836
,"Shads, PROCESS Cooking in water",8.5,685.548,8.5,685.548
,"Shads, PROCESS Frying",9,710.836,9,710.836
,"Shads, PROCESS Steaming",8.5,685.548,8.5,685.548
,Sharks,35.4,521.482,38.6,571.914
,"Sharks, PROCESS Baking",43.2,405.466,43.2,405.466
,"Sharks, PROCESS Cooking in water",43.2,405.466,43.2,405.466
,"Sharks, PROCESS Frying",43.2,405.466,43.2,405.466
,"Sharks, PROCESS Steaming",43.2,405.466,43.2,405.466
,Shrimps and prawns,17.7,627.36,23,635.23
,"Shrimps and prawns, PROCESS Baking",14.3,674.304,14.3,674.304
,"Shrimps and prawns, PROCESS Cooking in water",,,31,702.88
,"Shrimps and prawns, PROCESS Frying",14.3,674.591,14.3,674.591
,"Shrimps and prawns, PROCESS Steaming",,,31,702.88
,"Shrimps, common",24,276.18,21.8,664.395
,"Shrimps, common, PROCESS Baking",,,13.4,711.894
,"Shrimps, common, PROCESS Cooking in water",21,564.791,49,1117.065
,"Shrimps, common, PROCESS Frying",,0.04,13.4,711.894
,"Shrimps, common, PROCESS Steaming",21,565.15,47.78,464.125
,Smelt,3.4,663.8,3.4,663.8
,"Smelt, PROCESS Baking",3.8,716.959,3.8,716.959
,"Smelt, PROCESS Cooking in water",3.8,715.961,3.8,715.961
,"Smelt, PROCESS Frying",3.8,716.959,3.8,716.959
,"Smelt, PROCESS Steaming",3.8,715.961,3.8,715.961
,Smoked herring,31.99,634.873,42,661.2
,Smoked salmon,36.48,642.88,27,738.7
,Snails,,,55,751.31
,Sole,26.3,684.994,24,596.83
,"Sole, PROCESS Baking",18.5,625.091,18.5,625.091
,"Sole, PROCESS Cooking in water",52.1,623.076,52,489.41
,"Sole, PROCESS Frying",1.1,627.241,1.1,627.241
,"Sole, PROCESS Steaming",52.1,623.076,52,489.41
,Spiny and rock lobsters,130.5,813.488,130.5,813.488
,"Spiny and rock lobsters, PROCESS Baking",1.1,589.841,1.1,589.841
,"Spiny and rock lobsters, PROCESS Cooking in water",24.7,517.436,24.7,517.436
,"Spiny and rock lobsters, PROCESS Frying",0.5,859.215,0.5,859.215
,"Spiny and rock lobsters, PROCESS Steaming",0.9,517.436,0.9,517.436
,Sprat,17,483.778,38,704.843
,"Sprat, PROCESS Baking",9,710.836,9,710.836
,"Sprat, PROCESS Cooking in water",8.5,685.548,8.5,685.548
,"Sprat, PROCESS Frying",22,712.053,22,893.298
,"Sprat, PROCESS Steaming",8.5,685.548,8.5,685.548
,Squids,69,522.39,69,522.39
,"Squids, cuttlefishes, octopuses",69,522.39,69,522.39
,"Squids, cuttlefishes, octopuses, PROCESS Cooking in water",2,1,2,1
,"Squids, cuttlefishes, octopuses, PROCESS Frying",2,483.93,2,483.93
,"Squids, cuttlefishes, octopuses, PROCESS Steaming",2,1,2,1
,"Squids, PROCESS Cooking in water",2,1,2,1
,"Squids, PROCESS Frying",34.17,260.74,34.17,260.74
,"Squids, PROCESS Steaming",2,1,2,1
,Stockfish,156.85,467.439,157,467.439
,"Stockfish, PROCESS Baking",1.3,730.467,1.3,730.467
,"Stockfish, PROCESS Cooking in water",20.8,308.053,21.3,730.467
,"Stockfish, PROCESS Steaming",20.8,308.053,21.3,380.467
,Sturgeon,,593.1,,593.1
,Sturgeon roe,29,332.063,13.45,442.043
,Tilapia,,,32,956.38
,Trouts,31,847.44,31,697.4
,"Trouts, PROCESS Baking",35.4,700.872,35,717.83
,"Trouts, PROCESS Cooking in water",,,37.9,719.51
,"Trouts, PROCESS Frying",30.5,714.315,30.71,900.018
,"Trouts, PROCESS Steaming",,,37.9,719.51
,Tuna and bonito (generic),40,700.95,61,702.46
,"Tuna and bonito (generic), PROCESS Baking",66.2,692.041,66.2,692.041
,"Tuna and bonito (generic), PROCESS Cooking in water",4.2,669.685,4.2,669.685
,"Tuna and bonito (generic), PROCESS Frying",44.2,649.1844,46.5,692.041
,"Tuna and bonito (generic), PROCESS Steaming",4.5,683.92,4.5,683.92
,"Water snails, conches and whelks, PROCESS Cooking in water",65.8,523.4,65.8,523.4
,Whitefishes or coregonus,38,771.54,19.2,692.359
,"Whitefishes or coregonus, PROCESS Baking",3.5,743.012,3.5,743.012
,"Whitefishes or coregonus, PROCESS Cooking in water",3.5,739.991,3.5,739.991
,"Whitefishes or coregonus, PROCESS Frying",3.5,743.012,3.5,743.012
,"Whitefishes or coregonus, PROCESS Steaming",3.5,739.991,3.5,739.991
,Wolffish,59.7,531.908,59.7,517.543
,"Wolffish, PROCESS Baking",2.4,547.808,2.4,547.808
,"Wolffish, PROCESS Cooking in water",2.4,545.803,2.4,545.803
,"Wolffish, PROCESS Frying",2.4,547.808,2.4,547.808
,"Wolffish, PROCESS Steaming",2.2,520.847,2.2,520.847
,Wolffishes,59.7,531.908,59.7,517.543
,"Wolffishes, PROCESS Baking",2.4,547.808,2.4,547.808
,"Wolffishes, PROCESS Cooking in water",2.4,545.803,2.4,545.803
,"Wolffishes, PROCESS Frying",2.4,547.808,2.4,547.808
,"Wolffishes, PROCESS Steaming",2.2,520.847,2.2,520.847
Food products for young population,"Biscuits, rusks and cookies for children",7,570.8,6,891.1
,Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid,0.7,1446.3,0.7,1446.3
,"Follow-on formulae, liquid",1.8,238.347,1.8,278.047
,"Follow-on formulae, powder",1.5,1725.38,1.5,1795.38
,Fruit and vegetable juices and nectars specific for infants and young children,,0.3,,0.3
,"Infant formulae, liquid",1.8,154.888,1.8,227.747
,"Infant formulae, powder",38.7,1210.0697,39.4,1156.18
,"Pasta for children (dry, to be cooked)",0,444.927,0,444.927
,Ready-to-eat cereal-based meal for children,,,1,253.66
,Ready-to-eat dairy-based meal for children,,,0,124.85
,Ready-to-eat fish-based meal for children,3.6,278.5975,3,347.43
,Ready-to-eat fruit-based meal for children,0.6,189.3962,1,219.03
,Ready-to-eat meat-based meal for children,3,274.2369,1,304.06
,Ready-to-eat mixed meal for children,1.284,260.107,1.284,260.107
,Ready-to-eat vegetable-based meal for children,0.3,325.952,1,303.44
,Simple cereals which have to be reconstituted with milk or other appropriate nutritious liquids,4,1117.46,4,831.98
Fruit and fruit products,American persimmons,8.8,538.22,0.8,222.912
,Apples and similar-,0,130.3595,6,141.253
,"Apples and similar-, PROCESS Baking",6,323.255,6,116.195
,"Apples and similar-, PROCESS Cooking in water",6,103.333,6,165.842
,"Apples and similar-, PROCESS Steaming",6,103.333,6,165.842
,Apricots,0.2,337.923,4,318.283
,Arbutus berries,0.6,460.602,0.6,460.602
,Avocados,1,696.52,15,546.12
,Bilberries (European blueberries),12.1,161.4,12,122.29
,Blackberries,0,274.38,0,259.15
,Blackcurrants,30.1,498.538,31,493.473
,Blueberries,12,137.563,12,110.163
,"Candied fruit, cherry",1,178,1,95.365
,"Candied fruit, mixed fruit",,69.09,,69.09
,"Candied fruit, orange peel",7,438.903,7,159.03
,Canned fruit cocktail,1,111.38,2,88.745
,"Canned fruit cocktail, MEDIUM In diluted sweet liquid-syrup",1.2,117.48,1,115.78
,"Canned fruit cocktail, MEDIUM In fruit/vegetable juice",1.1,63.62,1.1,126.148
,Canned or jarred apple,0.031,100.04,5.031,92.986
,"Canned or jarred apple, MEDIUM In diluted sweet liquid-syrup",3.212,90.42,3.212,68.705
,"Canned or jarred apple, MEDIUM In fruit/vegetable juice",3,68.672,3,68.672
,Canned or jarred apricot,0.2,172.33,5,183.91
,"Canned or jarred apricot, MEDIUM In diluted sweet liquid-syrup",2.2,212.178,2,183.738
,"Canned or jarred apricot, MEDIUM In fruit/vegetable juice",2.2,172.013,2.2,211.303
,Canned or jarred cranberry,8,129.365,8,129.365
,"Canned or jarred cranberry, MEDIUM In diluted sweet liquid-syrup",5.6,121.876,5.6,95.474
,"Canned or jarred cranberry, MEDIUM In fruit/vegetable juice",5,95.441,5,95.441
,Canned or jarred mandarin,0.2,104.243,3,81.559
,"Canned or jarred mandarin, MEDIUM In diluted sweet liquid-syrup",2,105.604,2,81.62
,"Canned or jarred mandarin, MEDIUM In fruit/vegetable juice",2,105.671,2,125.235
,Canned or jarred mixed fruit,2,89.816,2,88.745
,"Canned or jarred mixed fruit, MEDIUM In diluted sweet liquid-syrup",1,63.62,1,115.78
,"Canned or jarred mixed fruit, MEDIUM In fruit/vegetable juice",1.1,63.62,1.1,126.148
,Canned or jarred peach,0.3,113.803,2.5,130.985
,"Canned or jarred peach, MEDIUM In diluted sweet liquid-syrup",1.5,121.39,1.2,130.604
,"Canned or jarred peach, MEDIUM In fruit/vegetable juice",1,109.375,1,201.825
,Canned or jarred pear,0.2,81.75,0,92.862
,"Canned or jarred pear, MEDIUM In diluted sweet liquid-syrup",0.2,172.013,0,86.12
,"Canned or jarred pear, MEDIUM In fruit/vegetable juice",0,84.952,0,102.865
,Canned or jarred pineapple,0.2,157.02,0,132.853
,"Canned or jarred pineapple, MEDIUM In diluted sweet liquid-syrup",0,175.16,0,101.83
,"Canned or jarred pineapple, MEDIUM In fruit/vegetable juice",0,175.181,0,98.22
,Canned or jarred plum,6,201.077,6,102.952
,"Canned or jarred plum, MEDIUM In diluted sweet liquid-syrup",4.3,158.25,4,102.89
,"Canned or jarred plum, MEDIUM In fruit/vegetable juice",4,151.21,4,151.21
,Canned or jarred sour cherry,0,103.663,0,103.663
,"Canned or jarred sour cherry, MEDIUM In diluted sweet liquid-syrup",0.156,184.01,0.156,75.154
,"Canned or jarred sour cherry, MEDIUM In fruit/vegetable juice",0,75.154,0,75.154
,Canned or jarred sweet cherry,3,189.911,3,155.9
,"Canned or jarred sweet cherry, MEDIUM In diluted sweet liquid-syrup",2,139.663,2,155.61
,"Canned or jarred sweet cherry, MEDIUM In fruit/vegetable juice",1.3,147.012,1.3,139.646
,Carambolas,1,256.495,1,177.697
,Cherimoyas,1,192.623,1,322.85
,Cherries (sweet),2.1,218.447,3,255.013
,Chocolate coated dried fruit,7.9,478.119,7.9,478.119
,Chokecherries,2,812.61,2,812.61
,Citrons,0,160.118,0,160.118
,Citrus fruit peel,2,322.897,2,171.689
,Cloudberries,0,256.6,0.189,123.366
,Common banana,0.5,456.94,1,470.21
,"Common banana, PROCESS Baking",,,0.6,422.473
,"Common banana, PROCESS Cooking in water",0,308.385,0,308.385
,"Common banana, PROCESS Steaming",0,367.425,0,367.425
,Cranberries,0.1,58.663,0,127.287
,Dates,3,324.413,1,490.32
,Dewberries and similar-,0,222.686,0,347.3
,Dried apples,0.2,522.05,19,618.88
,Dried apricots,0.5,1599.496,25,2170.957
,Dried bananas,,,0.9,615.422
,Dried dates,3,762.124,3,852.31
,Dried figs,2.3,986.527,1,1396.857
,Dried pears,1,660.882,21,907.798
,Dried prunes,0.5,930.08,42,898.65
,"Dried prunes, PROCESS Baking",0.5,525.022,40.5,911.558
,"Dried prunes, PROCESS Cooking in water",18,268.07,18,518.832
,"Dried prunes, PROCESS Steaming",17,313.022,17,518.765
,Dried vine fruits (raisins etc.),0.5,931.82,12,1183.81
,Elderberries,0,432.61,0,410.597
,Figs,2,297.838,0,269.527
,Fruit chips,0.641,1134.665,18.641,614.296
,"Fruit compote, apple",3.1,115.7065,3,154.65
,"Fruit compote, apricot",,,3,217.961
,"Fruit compote, mixed fruit",0.3,184.94,0.3,184.94
,"Fruit compote, peach",1,108.423,1,108.423
,"Fruit compote, pear",3,72.66,3,133.676
,"Fruit compote, pineapple",0,143.901,0,143.901
,"Fruit compote, plum",6,122.462,6,122.462
,"Fruit compote, sour cherry",0,94.259,0,94.259
,"Fruit compote, sweet cherry",2,176.028,2,203.821
,Fruit or fruit-vegetable puree,1,136.012,1,136.012
,Fruit preparations for fillings and/or flavouring,1,97.774,1,135.436
,Fruit salad,,,4,221.297
,Gooseberries and similar-,0,221.603,0,280.41
,Granate apples,1,276.274,0,294.77
,Grapefruits,0.2,180.04,4,252.87
,Guavas and similar-,1,343.05,1,282.637
,"Jam, apricots",1,97.741,1,86.493
,"Jam, apricots, SWEET Fructose",0,52.385,0,52.385
,"Jam, blackberries",0,85.965,0,70.543
,"Jam, blackberries, SWEET Fructose",2,103.695,2,103.695
,"Jam, blueberries",2,42.775,2,91.203
,"Jam, blueberries, SWEET Fructose",2,103.695,2,103.695
,"Jam, cranberries",0,43.734,0,91.203
,"Jam, cranberries, SWEET Fructose",2,103.695,2,103.695
,"Jam, currants (black)",6,147.299,6,70.543
,"Jam, currants (black), SWEET Fructose",2,69.558,2,103.695
,"Jam, currants (red)",2,115.071,2,70.543
,"Jam, currants (red), SWEET Fructose",2,103.922,2,103.695
,"Jam, gooseberries",0,103.771,0,91.203
,"Jam, gooseberries, SWEET Fructose",2,103.695,2,103.695
,"Jam, lingonberry",0.3,74.482,0,91.203
,"Jam, lingonberry, SWEET Fructose",2,103.695,2,103.695
,"Jam, mixed fruit",1.3,28.19,1,91.203
,"Jam, mixed fruit, SWEET Fructose",2,79.02,2.3,103.695
,"Jam, oranges",0,93.403,0,91.203
,"Jam, oranges, SWEET Fructose",0.3,162.827,0.3,78.257
,"Jam, peaches",1,86.734,1,86.493
,"Jam, peaches, SWEET Fructose",0,52.385,0,52.385
,"Jam, plums",2,86.635,2,86.493
,"Jam, plums, SWEET Fructose",0,52.385,0,52.385
,"Jam, raspberries",2,99.021,2,70.543
,"Jam, raspberries, SWEET Fructose",2,103.695,2,103.695
,"Jam, rose hips",17,318.857,17,149.85
,"Jam, rose hips, SWEET Fructose",2,103.695,2,103.695
,"Jam, sour cherry",0,112.839,0,91.203
,"Jam, sour cherry, SWEET Fructose",0,52.385,0,52.385
,"Jam, strawberries",0,125.1405,1,70.76
,"Jam, strawberries, SWEET Fructose",0.3,77.179,2.3,103.712
,"Jam, sweet cherry",0,112.839,0,86.493
,"Jam, sweet cherry, SWEET Fructose",0,52.385,0,52.385
,Kaki and similar-,,,0.6,222.779
,"Kiwi fruits (green, red, yellow)",1,359.45,26,364.88
,Lemons,0.4,225.103,1,193.8
,Limes,0.2,163.435,3,183.18
,Lingonberries,0,130.887,0,122.147
,Litchis,0,456.685,0,207.353
,Loganberries,0,347.063,0,347.16
,Loquats,1,316.313,1,273.563
,Mandarins,0.1,217.37,0,200.076
,Mandarins and similar-,0.2,196.023,3,200.009
,Mangoes,1,188.916,2,224.99
,"Marmalade, oranges",0.3,43.5988,1,71.063
,"Marmalade, oranges, SWEET Fructose",0.4,124.39,0.4,78.2
,Medlars,0.212,152.242,0.212,320.75
,Mixed dried fruits,10,796.493,10,1061.823
,Mulberries (black and white),0.6,362.157,0.6,362.4
,Oranges and similar-,0.2,235.496,1,229.24
,Papayas,1,296.55,2,214.99
,Passionfruits,1,464.71,1,309.67
,Peaches and similar-,0.2,241.777,3,199.44
,Pears and similar-,6,181.92,5,182.15
,"Pears and similar-, PROCESS Baking",6,234.715,6,125.131
,"Pears and similar-, PROCESS Cooking in water",6.2,106.127,6.2,157.076
,Pineapples,0.6,142.21,0,205.11
,"Pineapples, PROCESS Baking",1,566.58,1,224.257
,"Pineapples, PROCESS Cooking in water",0,163.177,0,163.177
,"Pineapples, PROCESS Steaming",0,194.207,0,194.207
,Plums and similar-,8.1,268.06,8,286.54
,Pomelos,0,283.96,0,283.96
,Prickly pears,1,386.19,0,349.37
,Quinces,0.326,195.387,0.326,240.677
,Raspberries (red and yellow),0,233.643,10,247.52
,Raspberries and similar-,10.1,320.44,10,247.52
,Redcurrants,11.1,413.481,11,361.233
,Rose hips and similar-,92.2,1038.213,92.2,919.266
,Sea buckthorns,0.1,218.13,0.1,218.937
,Sour cherries,0,264.6107,1,291.167
,Strawberries and similar-,5.1,258.22,5,211.65
,Table grapes,0.4,219.459,10,249.277
,Tamarillos,0.3,349.263,0.3,388.073
,Tangelos (except minneolas),3.251,146.612,3.251,146.612
,Wine grapes,20.1,257.3675,9.2,237.664
Fruit and vegetable juices and nectars,Dehydrated/powdered vegetable juice,0,3821.371,0,3821.371
,Fruit smoothies,4,584.183,4,206.022
,"Juice concentrate, black currant",3,142.037,3,114.187
,"Juice concentrate, orange",0.042,217.563,0.042,133.776
,"Juice concentrate, raspberry",,0.4,,0.4
,"Juice concentrate, sweet cherry",,0.25,,0.25
,"Juice, apple",0,138.7827,0,128.477
,"Juice, apple-carrot",,,10,164.322
,"Juice, apple-cherry",0,172.856,0,172.856
,"Juice, apple-cherry, FORT Combination of vitamin and mineral only supplements",1.5,226.26,1.5,226.2
,"Juice, apple, FORT Vitamin only supplements",6,128.2,6,144.499
,"Juice, apricot",3,289.298,3,289.298
,"Juice, apricot-orange",2,212.546,2,173.127
,"Juice, apricot-orange, FORT Combination of vitamin and mineral only supplements",1.5,226.27,1.5,226.2
,"Juice, beetroot",5,296.279,5,345.538
,"Juice, black currant",0.3,237.228,0.3,238.928
,"Juice, blackberry",0,275.46,0,238.92
,"Juice, carrot",0.1,375.639,17,290.94
,"Juice, celery",43,526.573,43,526.573
,"Juice, cranberry",0.1,94.41,0,238.813
,"Juice, elderberry",0,380.943,0,382.5
,"Juice, grape",0.1,163.05,1,96.733
,"Juice, grapefruit",3.1,226.815,4,133.81
,"Juice, lemon",1.8,144.76,1,152.57
,"Juice, lime",0.2,131.499,4,132.469
,"Juice, mango",0.1,193.53,0.1,63.614
,"Juice, mixed fruit",1.1,162.28,1,172.856
,"Juice, multi-vegetable",,,13.208,237.779
,"Juice, orange",0.1,226.033,1,227.05
,"Juice, orange-grapefruit",0,172.856,0,172.856
,"Juice, orange-grapefruit, FORT Combination of vitamin and mineral only supplements",1.5,226.26,1.5,226.2
,"Juice, orange-peach",0,172.856,0,172.856
,"Juice, orange-peach, FORT Combination of vitamin and mineral only supplements",1.5,226.26,1.5,226.2
,"Juice, orange, FORT Vitamin only supplements",0.3,230.0547,0.15,219.693
,"Juice, peach",2,202.369,2,202.369
,"Juice, pear",6,31.82,6,19.01
,"Juice, pineapple",0.2,173.1,0,68.77
,"Juice, pomegranate",0,215.5,0,215.5
,"Juice, red currant",11,273.891,11,238.762
,"Juice, strawberry-cherry",0,172.856,0,172.856
,"Juice, strawberry-cherry, FORT Combination of vitamin and mineral only supplements",1.5,226.26,1.5,226.2
,"Juice, tomato",0.5,260.957,4,271.47
,"Juice, tomato-leafy vegetables",8.2,284.059,8.2,237.5
,Mixed fruit nectars,2,76.712,2,119.742
,Mixed vegetable juice,13.208,502.662,13.208,237.779
